comentario,cluster_final,categoria_tema,tema_cluster,sentimento_cluster
"O boules é o futuro lule, observem os gestos e o jeito de falar, continuem escolhendo Barrabás.",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
É engraçado voltar aqui e assistir essa piada..,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Quem sao os mediadores?,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Voltando aqui 2 anos depois ( Desgoverno B4NDID0 ) para falar que estamos mais FUDIDOS do que kenga velha,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Vim do futuro pra dizer que o governo Lula 3 é um desastre, um governo rejeitado em mais de 50% em quatro regiões do Brasil. A picanha virou abóbora, o arroz de 5kg está em R$ 45, azeite de Oliva em R$ 80, pacote de feijão R$ 18, óleo de soja R$ 19, Gasolina a R$ 6,89, mais de 8 milhões de famílias pobres cortadas do bolsa família, cortes nas verbas da saúde, educação e programa sociais, volta do imposto sindical, volta do DPVAT, volta da interferência política na Petrobrás, sigilo de 100 anos nas viagens de Lula e Janja, recordes na liberação de emendas parlamentares ao Centrão, aumento no número de queimadas e desmatamento na Amazônia e no cerrado, aumento no número de mortes dos povos Yanomamis, aumento de 85% nos casos de feminicidios, aumento da homofobia, surto de dengue, omissão e desrespeito dos seus ministros e do seu governo na tragédia do RS, impostos altíssimos, taxação de sites de compras onlines, caos na segurança pública, greve dos professores, redução do poder de compra da população etc... tudo que o Lula acusou o Bolsonaro nesse debate, quem está fazendo, e está fazendo pior, é o seu governo. A única coisa boa que podemos extrair desse governo, é o fortalecimento da direita bolsonarista.",-1,,,
Ehh eu gosto de debate e de política,3,outros,Qualidade e organização do debate presidencial,positivo
Simone linda 2026,-1,,,
"Melhor debate político da TV é o da BANDEIRANTES, totalmente necessário e dinamico, parabéns por sempre estar proporcionando essa qualidade",3,outros,Qualidade e organização do debate presidencial,positivo
Bolsonaro vc brochou no final do debate na uol,-1,,,
Soreia tiro nica,-1,,,
Parabéns band pelos debates,3,outros,Qualidade e organização do debate presidencial,positivo
Parabéns tébete por apoiar o presidente lula,-1,,,
Soraya vai tomar banho 🧼🚿 vai tronik de roupa,4,outros,Desempenho e propostas das candidatas no debate,negativo
Soraya vai tomar banho 🧼🚿 vai tronik de roupa,-1,,,
O melhor debate foi oprimeiro  do segundo turno,-1,,,
Bolsonaro é o pior,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Lula é o melhor,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Felipe davila soraia e simone são muito fracos,4,outros,Desempenho e propostas das candidatas no debate,negativo
"A petrobrás é um capítulo da História Brasil e pouco se ver os interesses obscuros de particulares tentando ocultar suas motivações todos se parecer atentos no fio da miada ao ponto que quem se dá bem ñ é aquele que puxa mas aquele q pega o rolo, ninguém é bobo nem mesmo Lula que é o mais esperto de todos por ser discriminado nordestino pobre e ñ faz as coisas por fazer ou porque estudou mas por necessidade de demonstrar que ele ñ é burro como todos acham",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Quem fala do que ñ sabe do que ñ fez nem tentou fazer prega desinformação,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Depois desse dia até hoje tá o Bozo procurando o cú que ainda se encontra desaparecido após a enrabada do Lula 🤩,-1,,,
""" eu vou perguntar pra candidata Simone Step""... . kkkkkklk",1,outros,Reações e humor a momentos do debate presidencial,misto
"Eu e meu pessoal  NÃO gostamos do Bolsonaro. Aliás, a maioria dos Brasileiros 🙏",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"Melhor debate que ja assistir, totalmente imparcial.",3,outros,Qualidade e organização do debate presidencial,positivo
MDS um ano já,-1,,,
"Já se passaram 10 meses... Jajá chega a próxima ""eleição"".",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Isso aqui foi o melhor filme de comédia da história.,-1,,,
Eu aqui vendo meu lulinha falar kkkk. 2023,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Parabenizo a Band pela eloquência de perguntas.,3,outros,Qualidade e organização do debate presidencial,positivo
02:12 bolsonaro acabando com a Vera 😮,1,outros,Reações e humor a momentos do debate presidencial,misto
"Simone: ""eu não vi o presidente pegar a moto dele e entrar no hospital pra ir abraçar uma mãe"" 
Eu ri demais kkkkkkkkkk
Se ele fizesse isso ia ser acusado de matar o povo do hospital atropelado 😂😂",4,outros,Desempenho e propostas das candidatas no debate,negativo
"Não sou bolsominion nem em sonho, mas Bolsonaro deveria tomar essa postura no último debate da globo no 2° turno. Ele ficou meio infantilizado e os argumentos eram 10x piores.",-1,,,
Esse Bolsonaro é fraco demais,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Essa música parece de anime antigo tipo em neon genesis evangelion kkkkkkk,-1,,,
o Bolsonaro foi uma dos melhores presidentes do Brasil,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"Eu moro em Joinville e acho a pior cidade do país. Só vem gente que não presta de fora, forasteiros, a qualidade de serviços e produts é das piores, a cidade mais cara do país em impostos e cesta básica e o prefeito Adriano Silva até hoje não fez nada pela cidade. Dá pra entender: bolsonarista, malandro, colaborador dos cariocas. Tudo que se produz aqui vai pra capital e pro gpverno federal. Felipe Dávila, por favor, vá estudar e deixar de ser mentiroso que nem o teu candidato Bolsonaro que ganhou em 2018 mentindo para o povo ou fraudando as urnas porque em 2018 Bolsonaro não duvidou das urnas eletrônicas mas dois anos depois  duvidou pq Lula seria candidato a presidência do Brasil.",-1,,,
e omelhor  jornal,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Asséptico direcionado 🤢,-1,,,
2:09:01 Momentos antes da desgraça acontecer,1,outros,Reações e humor a momentos do debate presidencial,misto
Ciro falou tudo,6,outros,Críticas a candidatos e alianças políticas,negativo
"Parabéns Band o debate foi espetacular. Uma grande emissora que respeitou o debate e não ficou puxando saco de ninguém como a globo fez com o lula, dando a ele prioridades",3,outros,Qualidade e organização do debate presidencial,positivo
"9:41 “Aqui, da sala-de-jantar…” KKKKKKKKKKKKKK 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",1,outros,Reações e humor a momentos do debate presidencial,misto
"ELEIÇÕES mais SUJAS da HISTÓRIA

O LADRÃO NÃO VAI ASSUMIR",-1,,,
esta é para o Covarde do dathena ve se pare de ser Ridiculo covarde vocé fala groço atraz das cameras de uma emisora que sempre mamou nas tetas do governo federal por isso vocés estão contra o Presidente Bolsonaro bando de golpistas vocés da velha inprensa e do stf São farinhas do mesmo Saco acharam mesmo que irião enganar a população com falsa democrasia? vocé devia criar vergonha na cara por sempre esconder a verdade do povo e divulgar noticias falsaz desconstestualizadas agora o povo não vai mais acreditar nesta velha e ridicula inprensa,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Um forte abraço,3,outros,Qualidade e organização do debate presidencial,positivo
"Chegamos ao final de uma das mais importantes eleições da nossa história. Uma eleição que colocou frente a frente dois projetos opostos de país. E que hoje tem um único e grande vencedor: o povo brasileiro.""",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Quero ver vocês serem sensurando pelo Lula vai sentir na pele o que os Bolsonaristas estão passando,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Parabéns, Band .",3,outros,Qualidade e organização do debate presidencial,positivo
VT nu i deau,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Comu vc lula sabia que vc ia preso pra bs ser eleito,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
O que jamais fazem lei o plano de armamento e estou um bandido não vai agredir pois pode morre apoio o nosso presidente bocionario deus abençoe vocês povo de deus e abençoe a cada criança tá nascendo eles nenhum tocarão nos desastres naturais que há no mundo inteiro só falam só e dinheiro do que o presidente teria que dá conta em 4 anos o que .eles deixaram e isto povo amado de deus durmam em paz na certeza de que    (22) só ele vai salva nossos filhos netos,-1,,,
Olha aí a palavra negro O fascismo impera,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
E no meio do povo ele lutou doente e esfaqueado mas nem deus  agradou a todos olha as o nosso presidente não presiza de tá doente enfrentando uma presid Ed ntes ele faz para ajuda os humildes,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Será que o problema era doenças que já tinha um mão que começou mata na Itália os estados unidos e o Brasil conseguiu as vacinas e terminar junto e não foi só o Brasil que perdemos  as  as pessoas que dói até hoge não só pra me mais pra muitos que perdemos o presidente bocionario nao tinha tempo pra ir nos velório hospitais ele em não trabalha  tempo certeza que ele sentiu se ele não deu a todos os estados o dinheiro para fazer hospitais e core com o auxílio e corre pra salva o Brasil isto ninguém vê,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
E o que disse palavras toda vida agente vê esse rosário de safadeza que eu já e muitos milhões das pessoas  deus tenha piedade de nós humanos 🙏,-1,,,
Vocês estão vendo um puxado de lavadeira e jardineiros com seus acho as dos certa  lavando suas roupas  em frente a um país inteiro estou e o lixo deles mesmo emguanto os humilde estão neste momento decepcionados ao ver essa patifaria que eles amanhã tem que levanta pra trabalha comendo da volta deste passado temos grandes jovem capacitado para toca  esse  país pra isto bocionario tem que pó o país melhor do que ista bagaceira que o passado nunca mais volte se deus guizer,-1,,,
lula não chora não sua camisa vai virar pano de chão :yougotthis:,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Igual a você Simone terabyte falaria e que não tem vergonha na cara nunca ganhará uma presidência antes que eu u morra será no fim d as gestão de presidente bocionario se deus guizer nem você nem esses petestas aproveitadores gente falca corupitos desonesto tudo que eles fazem eu quero vê m Ed us netos bem garantido,4,outros,Desempenho e propostas das candidatas no debate,negativo
Que pouca vergonha este debate...isto tinha que acabar o povo não mais bobo....uma decepção,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Só pesso a deus que o ódio que vimos nos olhos dos candidatos não se compara com a paz do presidente bocionario pois ele tem deus e não pois a região no meio da política eu penso que presidente bocionario e o único que respeita deus e os mais humildes pois e e humano e sabe o que e sofrimento tanto que foi esfaqueado e deus o salvou pois ele tem amor deus o guarde e nos proteja amém 🙏,-1,,,
"Band,  parabéns pelo debate. 2️⃣2️⃣🇧🇷🇧🇷🇧🇷2️⃣2️⃣✅",3,outros,Qualidade e organização do debate presidencial,positivo
Povo amado de Deus ninguém destes que tá aí nunca esteve junto do povo e não se quer um oi da  queremos um Brasil igual para todos deus pátria família  ajuda deus 🙏,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
A cara desse povo que se diz santo mais só pensão em seus filhos e se passa perto de uma pessoas humilde elas até afasta se tá de carro passa guase em cima de você,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"tão querendo até que HOMEM VIRE MULHER

Lula*",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Nossa como e triste ouvir esse Lula falar. Deus nos livre desse babaca Presidente. Tenha Misericórdia!!!. No governo desse safado ele deu 1% de aumento.,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Lula lixo e globo lixo,-1,,,
Alssilio Brasil de 600 reais com o preço do gás gasolina alimentando cesta básica não tem como alimentar mais prefiro 40 reais e comer comprar o meu gás,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Ele vai concertar ou terminar de exculhambar o País.,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Um presidente que tem nojo de pobre continua mentido cuidado povo de deus,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Bolsonaro vira ser humano 
VC continua com suas mentira",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"Mais esse bolsonaro joga sujo educada 0 
Engraçado ele e o pai da mentira mesmo",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"Esse presidiário , criminoso ladrão é muito cínico  . é uma vergonha no Brasil ter um candidato criminoso concorrido a eleição presidencial .",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"*Você inocente Lula? Só se foi o Bonner que te absolveu.*

*Na cara não presidente!* 😂😂😂",-1,,,
Realmente jornalismo da Globo de baixo nível,3,outros,Qualidade e organização do debate presidencial,positivo
Esse lula é velho asqueroso mesmo e mentiroso,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Imbecil rato tem que ficar e no esgoto...covid e mundial,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Rato não.deu explicação dos médicos cubanos..salário.12 mil 8500 pra Cuba....o rato questiona ambulância...,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"É injusto falar de pandemia quem não era  Errou tudo bm acerta seus erros ,minha irmã que mora em mmanaus o povo de lá não quiseram longdow ,Eu trabalhei na época do Lula o salário teve o aumento de 30,00 reais por ano quando sai o aumento estava em 49 ,00 por ano No governo Bolssonaro o congresso aumentou uma porcentagem bm maior 220,00 isso foi demais para mim.okay .",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Tenho minha  opinião própria  esse presidente Lula já  esteve no poder por 2 mandatos sem problemas de pandemia que foi surpreza para o mundo global .
SURPRISE .",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Falsos cristãos...roubam e enganam milhões se dizendo pessoas de bem. Bolsonaro não respeita nenhuma religião e destruiu a paz na minha igreja.,-1,,,
Juro meu deus tem que seu filho presiza manter nosso presidente bocionario deus o senhor levou 7 dias pra construir o mundo inteiro agora um homem com toda guera ele vem lutando povo de deus não facão a besteira deste passado que continua,-1,,,
Devem ter vergonha da medo de vê o antigo Brasil onde avia muitos sofrimentos humanos sem um palavreado destes porcos que só pensão com suas famílias e deus não manda uma bomba ali presidente bocionario responde o que ele viu nas favelas comunidades por todo lugar que ele viu de frente os problemas que exeste esse sim sabe e tem dó do ser humano que não vive esnobando por aí bocionario  conhece    o sofrimento a falta e não ter deus olha nosso presidente bocionario seu filho Jair Mecias bocionario eles acham que só educação e importante moradia não e importante alimentação não e importante meu deus disse o senhor nada há de falta até os passarinhos tem a roupa e o alimento o presidente bocionario em 4 anos tinha que deram ouro para destes vigaristas,-1,,,
PARAIBA NORDESTINA BOLSONARO SIM SENHOR😎🤠💚💛💙🤍2️⃣2️⃣✅🇧🇷,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
BOLSONARO 22 🇧🇷,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Na Band valeu mais aqui não tá com nada essa Globo 👎👎,3,outros,Qualidade e organização do debate presidencial,positivo
Povo de deus eu em todo debate entre presidentes deportados e sou capas de falar tudo que esses porcos miseráveis falam e o Memo que reza missa a repetição pelo amor de Deus faz até mal ouvindo esses petestas pois aí tá o presidente sozinho e que tem a preucupacoes do povo essas mulheres paresce a Dilma parecem a Dilma são mulheres que deveria volta a escola pra conhecer o Brasil o que o Brasil os brasileiros gente hipócrita que não muda não melhora os conhecimento,-1,,,
"O debate está ótimo, Bolsonaro dando maior surra no outro , o tal do L",-1,,,
"Rede Bobo, não vejo fazem anos,bem antes da Pandemia,deixei de acompanhar esses jornazistas!",-1,,,
"Sou mais a Globo , viva BOLSONARO 13",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"🎶🎤OH BOLSONARO VOCÊ NÃO VAI PERDER,NO DIA 30 VAMOS VER O CHORO DO PT🎼",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
DEUS Está no CONTROLE 🙏🏽,-1,,,
"Se a quadrilha voltar nunca mais sai , o ladrão vai implantar o regime comunista então seremos com Cuba , Venezuela, Nicarágua, Rússia... onde nunca mais terá eleições, só fica o ditador !
Somos todos Bolsonaro 🇧🇷🇧🇷🇧🇷",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Deus, é  misericórdia e bom, mais também é justo. 
Nós vamos vencer, nome de Jesus!
Bolsonaro 22!🇧🇷🇧🇷🇧🇷🤝🤝🇧🇷🇧🇷🇧🇷🤝🤝",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Vamos lá Capitão,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
LulaLadrão LulaLadrão LulaLadrão LulaLadrão,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
O face me bloqueou não posso comentar kkkk,-1,,,
Bonner corrompido junto com a Globo lixo. Nunca vai dar direito de resposta pra nada pro presidente. Mas eles são das trevas. Nós somos de Deus,-1,,,
Band parabéns pela transparência !!!! O povo representado aqui 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,3,outros,Qualidade e organização do debate presidencial,positivo
Uma bactéria reproduz por bipartição já o salário mínimo reproduz escravo também por bipartição,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Desenrolar bate e fora Bolsonaro lula ganhou no primeiro turno e vai vai no segundo vai ser lapada kkkkk,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Eu até entendo os ricos fica do lado de Bolsonaro aqui os pobre fica do lado dele e sacanagem viu kkkk,-1,,,
Bolsonaro diz que se ganhar a eleição vai ficar os 600 bora ver kkkk,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Luladrão foge toda hora,-1,,,
Juntos somos mais fortes B22B22B22B22B22 🇧🇷🇧🇷🇧🇷🇧🇷.. É Bolsonaro de NOVO 🇧🇷🇧🇷🇧🇷,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Presidente bocionarista meu parabéns você e humano e por uma casa na lama em 4 anos não e para gualguer bocionario deus te colocou nesta cadeira que mau você sentou pois você estava sempre trabalhando com o povo e não fazendo o povo de troca como essa gente aí que tem nojo de chegar perto do povo só porque ocupa uma cadeirinha de um pordezinho gente que o que fala não e o que demostra palavras cabe na boca de gualguer um até de um ladrão corupitos desonesto porco fascista miserável 🙃🇧🇷💚❤️💛💯,-1,,,
Além de ladrão e covarde,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
A Globo é  o maior lixo....,-1,,,
Bora começar logo kk,-1,,,
Parabéns  presidente Bolsonaro. Estamos  juntos ❤️,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"Nunca estive na dúvida, sei que Bolsonaro é o homem que merece ser reeleito.",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Rumo a vitória  com Bolsonaro 22,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"Partido novo falou bonito sobre o agro, quer privatizar igual Bolsonaro, pensa nos lucros. Ja Lula, so pensa no comunismo",-1,,,
Que hora começa o debate  ??,1,outros,Reações e humor a momentos do debate presidencial,misto
"Voces sabem por que lula foi nesse debate?  Porque aglobo manda na Band! Querem uma prova ?  Dou a voces observem o horario de progamação da band e a prgramação da globo, a band sempre evita  os horarios nobres da globo!",3,outros,Qualidade e organização do debate presidencial,positivo
"Bolsonaro, neste momento para nós brasileiros, significa democracia e liberdade.",2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"Assuntos errados
. Soraya e até ete ...valem nada ...perderam e se aliaram ao ladrão....mesmo o chamando neste debate de ladrão ..",4,outros,Desempenho e propostas das candidatas no debate,negativo
bossonaro presidente novamente.,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
"Uma escola aqui no Ce, governada pelo consórcio PT, foi invadida por bandidos armados , atirando, promovendo desordem..... Graças a Deus a PM chegou, e conseguiu prender a quadrilha, detalhe ninguém abriu um livro sequer e leu uma história para eles kkkkkkkkk teve muito foi BALA ....",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Mentiroso e vc velho ladrao vc não tem vergonha na cara  vc que vai voltar pra casa velho nogento mentiroso Bolsonaro sim e Homem de valor e fala a verdade na cara de qualquer um e e exatamente esse motivo que é cômoda vcs mentiroso e corrupto quem tem caráter amor próprio pela família e principalmente a Deus não vota no pt,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Pelo o que eu seio juiz Lula pegou o Brasil com emprego investimento o Real valorizado o que foi que juiz Lula fez no Brasil o Brasil Quer saber,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"MILHÕES DE TRABALHADORES ESTÃO COM O FTGS PRESO, POIS FIZERAM SAQUE ANIVERSÁRIO E SÓ PODEM SACAR. 3 ANOS. BOLSONARO NÃO TEM ESSE DIREITO",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
O FGTS É DE DIREITO DE TODO TRABALHADOR. BOLSONARO NÃO TEM O DIREITO DE PRENDER O FGTS,-1,,,
"Luiz Inácio da Silva,  valorize a  saúde,  quando vc  estiver  dó ente procura o  hospital e  nós  é quem vai a  tende .",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Ri de mais nesse debatekkkkk,-1,,,
"A quem não tem o de que acusar só resta cobrar as lágrimas que Bolsonaro não chorou. Porém, ele é o presidente que mais chorou por motivos nobres, os mais diversos. Acusações ridículas! Rsrs..",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Lula, o senhor está enganado os brasileiros não sentem saudade nenhuma do seu governo corrupto. Infelizmente não sabíamos da podridão porque era uma mídia toda manipulada pela cúpula. Deus e maior!!!",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Lula para de mimi é 22 e tu também e para vota no 22  seu 6 dedo,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
O Brasil é 13❣️,-1,,,
"E verdade o que bolsonaro falou minha mae. Recebia era 60 reais depois passou pra 80,00 reais.por aluno na escola publicar nao dava pra nada .",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Fora lula ladrao volta pra prisao,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Lula quando está no campo de batalha dele,que é a globo,ele se sente todo poderoso. Quando ele n está ele fica escabriado",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Parabéns Band👏🏻👏🏻bom trabalho,3,outros,Qualidade e organização do debate presidencial,positivo
N vai ter plateia 👏🏻👏🏻👏🏻 . Deveria ser assim na globo,3,outros,Qualidade e organização do debate presidencial,positivo
Lula nosso futuro presidente do Brasil chega de safadeza iprocresia usando o nome do senhor Jesus Cristo,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Primeiro turno fui de bolsonaro mas segundo turno é lula , 51 imóveis e orçamento secreto e não tem investigação que democracia e que verdade é essa?",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Ojlb nn n n n n n n n n n n n n n n n n n n,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
Parabéns por uma debate com conteúdo 👏,3,outros,Qualidade e organização do debate presidencial,positivo
Fora BOLSONARO CORRUPTO destruídor do Brasil CORRUPTO.,2,outros,Desempenho e popularidade de Bolsonaro no debate,positivo
Dessa vez vou de Bolsonaro. Acho que lula já teve sua chance. O tempo dele já passou.,5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Revendo o debate aqui, ... faltou direito de resposta p Bolsonaro no final pelos ataques inverídicos do Lula que ficou com um minuto a mais que Bolsonaro e ainda teve a palavra final.",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Não estou conseguindo ver o debate, a voz do Lula é seus argumentos sem solidez e preparados para idiotas esta me causando nojo 🤮, literalmente.",5,corrupcao,Acusações de corrupção e irresponsabilidade contra Lula,negativo
"Acorda povo!
Vou falar o que todos sabem!
O pt roubou o Brasil por anos,
Todos os dias tinha noticia de corrupção,
O Brasil era pra ser potencia mundial porem lula e sua quadrilha saquearam tudo,
Esses jornalistas e famosos, emissoras e jornais só quem que volte o dinheiro publico pro bolso deles, sao contra o povo,
O lula só esta solto porque seus amigos bandidos mudaram as leis para o soltar e o candidatar,
Bolsonaro enfrentou pandemia e guerra e ainda deu auxilio e o Brasil esta crescendo,
Se fosse o lula nessa pandemia o país estava acabado,
Antes de Bolsonaro entrar a ideologia de genero estava tomando conta,
Os bandidos que estao no poder não deixaram investigar quem mandou matar Bolsonaro pois são todos da mesma quadrilha,
Os ministros de lula eram especialistas em roubar enquanto Bolsonaro coloca ministro que entendem do ministerio,
Abra os olhos vc que votou no lula,
Quantas pessoas o lula matou desviando verba de hospitais,
Quem vota em bandido é cúmplice,
Que Deus abençoe nosso País e não permita que esses quadrilha volte ao poder,",-1,,,
último debate na Band com lula e Bolsonaro,-1,,,
